session_id,pattern,t,x,vx,input_left,input_right
noisy_step_and_pause_000,noisy_step_and_pause,0.0,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.01667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.03333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.05,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.06667,4.706,0.0,1,0
noisy_step_and_pause_000,noisy_step_and_pause,0.08333,3.206,-90.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.1,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.11667,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.13333,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.15,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.16667,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.18333,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.2,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.21667,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.23333,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.25,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.26667,3.206,0.0,1,0
noisy_step_and_pause_000,noisy_step_and_pause,0.28333,1.706,-90.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.3,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.31667,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.33333,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.35,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.36667,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.38333,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.4,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.41667,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.43333,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.45,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.46667,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.48333,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.5,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.51667,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.53333,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.55,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.56667,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.58333,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.6,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.61667,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.63333,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.65,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.66667,1.706,0.0,0,1
noisy_step_and_pause_000,noisy_step_and_pause,0.68333,3.206,90.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.7,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.71667,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.73333,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.75,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.76667,3.206,0.0,1,0
noisy_step_and_pause_000,noisy_step_and_pause,0.78333,1.706,-90.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.8,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.81667,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.83333,1.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.85,1.706,0.0,0,1
noisy_step_and_pause_000,noisy_step_and_pause,0.86667,3.206,90.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.88333,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.9,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.91667,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.93333,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.95,3.206,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,0.96667,3.206,0.0,0,1
noisy_step_and_pause_000,noisy_step_and_pause,0.98333,4.706,90.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.0,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.01667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.03333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.05,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.06667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.08333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.1,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.11667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.13333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.15,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.16667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.18333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.2,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.21667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.23333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.25,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.26667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.28333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.3,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.31667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.33333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.35,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.36667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.38333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.4,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.41667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.43333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.45,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.46667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.48333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.5,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.51667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.53333,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.55,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.56667,4.706,0.0,0,0
noisy_step_and_pause_000,noisy_step_and_pause,1.58333,4.706,0.0,0,0
